Index,PedSpeed,EgoSpeed,PedDist,Fitness_Min distance_LoFi,Fitness_Velocity at min distance_LoFi,Fitness_Min distance_HiFi,Fitness_Velocity at min distance_HiFi,Critical_LoFi,Critical_HiFi
0,0.33436166,3.57629713,14.28774559,2.63587260,-3.59999994,2.21248750,-6.27754222,0,0
1,0.38345900,4.06008819,18.26944925,2.22219317,-4.03329737,2.32692819,-3.04139175,0,0
2,0.38646059,6.76013407,10.86282985,3.21402009,-6.78999952,2.43537411,-4.08494731,0,0
3,0.38953115,7.44269386,17.01517746,2.90651766,-7.15827367,3.98705541,-5.02175082,0,0
4,0.40660647,4.86216511,11.33325825,2.99138494,-4.89049496,4.88327018,-5.03746630,0,0
5,0.41202096,6.37958116,7.69585181,3.39355599,-6.41499117,2.24175530,-7.43790657,0,0
6,0.43525550,5.44274489,15.67786553,2.66026195,-5.47966109,2.11829468,-4.42236893,0,0
7,0.44723652,4.13296097,18.34936983,2.02410245,-4.14515606,3.23322260,-4.01806692,0,0
10,0.46140889,7.11985585,10.44359057,3.20513909,-7.08553193,21.30032263,-0.00000000,0,0
13,0.47711887,3.48157041,16.53668976,1.86431572,-3.45499353,2.19543672,-6.84765477,0,0
14,0.47843454,6.20663251,18.25247528,2.49467912,-6.24952225,5.12157713,-5.88872864,0,0
15,0.48545493,3.96453251,16.42788468,2.06339654,-3.96997165,1.24444151,-6.71754293,0,0
16,0.48849904,7.77310190,16.41340356,2.81665757,-7.14571246,1.44994136,-6.49554497,0,0
18,0.50744875,4.32663209,13.81341473,2.44538191,-4.33005455,3.33838794,-5.00526222,0,0
20,0.53513697,3.07394728,13.99620939,1.87678552,-3.05943717,2.70128861,-8.03493595,0,0
21,0.57294319,6.33638978,7.40599334,3.34126094,-6.37908518,3.24546669,-2.59838301,0,0
22,0.58282083,6.65638582,5.35608901,3.57355701,-6.66997426,2.01359881,-3.43907576,0,0
23,0.64803171,7.16441662,7.22716675,3.36423888,-7.08983693,2.66627860,-7.95713941,0,0
24,0.66243030,6.25944490,11.32534286,2.84615249,-6.24992858,5.49424620,-6.29735954,0,0
25,0.66576196,5.47307016,5.15571634,3.55154305,-5.44002192,1.12146683,-4.02278561,0,0
26,0.67180636,5.39365399,19.19687394,1.66779390,-4.21998713,2.48045130,-6.99647828,0,0
27,0.67403732,8.28714983,16.95986733,2.49474140,-7.13564704,3.49053160,-7.20433736,0,0
28,0.68269835,6.32602765,8.46184637,3.16145465,-6.29006804,1.54441470,-6.24442854,0,0
30,0.68650801,3.86230487,18.25775142,2.83957587,-3.35536209,21.30032263,-0.00000000,0,0
31,0.70644047,7.66828860,13.06253377,2.79462435,-7.10987627,2.69229191,-8.13597944,0,0
32,0.72865169,5.79539468,13.14218743,2.47404413,-5.79999858,2.99173489,-8.22594700,0,0
33,0.73751565,5.53698917,15.43651252,2.06489081,-5.56000214,2.73857503,-6.40448443,0,0
34,0.77446866,6.88737926,8.63031446,3.11186877,-6.88001287,6.84106008,-3.40627865,0,0
35,0.78479910,4.41884156,13.10926539,1.99143685,-4.40001470,3.31693761,-6.95198234,0,0
36,0.80346197,7.04180547,16.44683572,2.20406374,-7.00159675,1.16012122,-4.41671667,0,0
38,0.82274602,8.23949716,6.09750645,3.46946169,-7.05706835,1.31963291,-7.08114613,0,0
40,0.87344570,3.85421381,7.38367580,2.91826751,-3.89502294,1.36482888,-6.26784934,0,0
41,0.89113208,3.46909553,16.86038414,3.52358238,-3.49997479,2.43972672,-7.86600399,0,0
42,0.93159518,6.43568814,9.20770281,2.86891416,-6.46500152,3.56709742,-3.04543462,0,0
43,0.95473767,4.37428048,13.90930634,0.98211582,-0.00000000,2.31776858,-7.93681369,0,0
45,0.97881373,6.04083336,15.92805965,1.62645778,-5.03005016,2.64450564,-6.24990190,0,0
46,0.98623560,4.41226200,8.68681867,2.61779490,-4.41499541,1.59808692,-6.89229275,0,0
47,0.99656863,7.54727666,10.83409641,2.72484254,-7.11434336,2.56155167,-7.93844141,0,0
48,1.00028701,6.35347437,16.92759694,1.54306411,-5.26023182,3.50563376,-5.82025299,0,0
50,1.00507703,4.29628061,5.36293911,3.44788707,-4.31996138,2.09989981,-3.42027595,0,0
51,1.00574997,5.32898407,12.41932822,2.00596312,-5.32004138,1.42833787,-4.37870436,0,0
52,1.01825334,5.37365428,18.59850054,2.44243987,-0.00000000,3.45697887,-7.73660932,0,0
53,1.02892759,7.49217484,9.01047580,2.94010853,-7.11805777,3.84471941,-5.14185214,0,0
55,1.06272890,5.66361718,5.59156121,3.41695803,-5.65001763,3.16478306,-2.74275503,0,0
56,1.07371754,5.89964341,9.37622970,2.68247869,-5.88500069,2.32307714,-8.23968548,0,0
58,1.09684148,5.89625225,19.02038345,2.16164394,-0.00000000,9.77103287,-3.43494920,0,0
60,1.12496316,5.40611337,19.33954477,10.40720154,-5.41000304,2.26520021,-4.80686556,0,0
61,1.12738069,6.76580278,10.13670095,2.62717733,-6.75504048,1.11763598,-3.85163457,0,0
62,1.13092380,3.53425430,17.00670335,3.93895548,-3.56480976,3.38345030,-4.29790367,0,0
63,1.13295119,4.96314534,15.23482930,0.80695863,-0.00000000,3.40943120,-2.36809445,0,0
66,1.15960879,4.33416456,18.74555375,10.94051652,-4.36834124,1.63561120,-8.04575115,0,0
67,1.17117804,4.58070920,13.99543766,0.70738362,-0.00000000,1.89715591,-4.65816213,0,0
69,1.17616256,4.38764825,15.70589905,3.07093681,-0.00000000,1.24233900,-4.29346834,0,0
72,1.20494210,4.26293175,14.96052142,2.79471870,-0.00000000,5.55118510,-3.45907353,0,0
73,1.21547745,5.64365726,19.34751971,10.75865915,-5.61094511,1.65495160,-7.89468883,0,0
74,1.21958567,5.95988615,16.90462999,0.82452713,-0.00000000,4.77507597,-2.81690060,0,0
75,1.22079722,3.75923788,7.57973147,2.50145902,-3.79999320,2.11421026,-7.77162724,0,0
77,1.26061455,4.39648301,19.44609177,12.05567998,-4.39119760,2.99042296,-7.01671392,0,0
79,1.27731940,4.57735172,5.00750204,3.52027613,-4.58094155,2.14893543,-3.96867336,0,0
81,1.29141690,4.50124620,16.59298787,4.07155638,-3.85490858,6.11056612,-3.28166991,0,0
82,1.29729128,6.10763322,6.71263805,3.09070316,-6.09999922,1.81314225,-7.63750665,0,0
83,1.31022914,6.44879401,19.84281698,11.16298061,-6.47517010,1.15043312,-8.18289325,0,0
84,1.31244981,5.69345917,9.91004827,2.27052723,-5.68500137,3.28095700,-3.62148908,0,0
85,1.37289796,4.29454553,15.82683204,4.23324779,-3.90098661,2.62674300,-7.31427231,0,0
86,1.38350545,4.86826978,8.74770631,2.34513728,-4.86499755,1.01647875,-8.22939406,0,0
87,1.38655058,7.98006061,9.35303447,2.68019432,-7.09368039,2.54362697,-3.50824938,0,0
88,1.39805881,5.37513322,19.77785791,11.91099640,-5.34003337,3.48460383,-6.38214457,0,0
89,1.40073321,6.49660499,9.53415915,2.41460271,-6.46500456,1.39364293,-4.07992292,0,0
90,1.41924523,7.19428147,18.20031923,0.67994930,-0.29034404,2.83147537,-7.70754570,0,0
91,1.43336331,7.24143955,11.39407962,2.16592121,-7.08901044,1.90823148,-7.68989861,0,0
92,1.45100099,3.24366715,7.81659335,2.01976419,-3.23999690,2.26916828,-6.81979180,0,0
93,1.45711784,7.39975715,19.00863840,1.32202747,-0.27992493,1.15594343,-3.52545414,0,0
94,1.45788988,4.22536763,11.99616940,0.75773925,-0.00000000,2.67095443,-6.51711967,0,0
95,1.46611783,7.13714018,13.51439892,1.67781137,-6.73001001,2.24300009,-6.79913726,0,0
96,1.52641671,6.36148129,9.11550228,2.40169700,-6.38500555,9.38570683,-3.52858693,0,0
97,1.54063798,6.63651335,18.94930147,10.47139011,-6.63499731,5.47317225,-5.94004310,0,0
99,1.55241745,4.45373295,6.09971274,3.03302425,-4.43002064,1.97877616,-5.20196866,0,0
101,1.57037396,7.78942509,10.03751867,2.41295233,-7.06455764,2.11078595,-8.08251491,0,0
102,1.57943477,6.87653159,5.54695944,3.43254792,-6.84999731,3.53046950,-7.08311323,0,0
103,1.59160266,5.24374515,19.65618811,12.61945698,-5.22009111,3.36680330,-8.13231777,0,0
104,1.61146756,4.30371378,6.26459594,2.87404163,-4.32999958,4.94981418,-3.74456316,0,0
105,1.61250380,3.33180189,18.36221683,12.31307621,-3.35999970,3.08094210,-4.48981395,0,0
107,1.62257540,4.25393724,11.81883863,1.11257541,-0.00000000,5.72613113,-3.40965448,0,0
111,1.67050985,5.08439514,16.86166443,4.58904820,-0.01174115,2.33895553,-4.40506250,0,0
112,1.67772462,6.92554230,11.27717951,1.90096763,-6.96993566,2.51155014,-6.69325020,0,0
113,1.68901110,7.70760866,5.34434560,3.44046538,-6.94858992,21.30032263,-0.00000000,0,0
114,1.68960956,3.96482706,11.15664111,1.03142847,-0.00000000,1.97593395,-3.21772981,0,0
115,1.70035319,4.61772317,6.89622160,2.63869903,-4.65948283,7.04057650,-7.02264394,0,0
117,1.73021750,5.62900068,14.38353678,1.15669960,-0.15871682,2.07625324,-3.95767413,0,0
118,1.74734774,7.86110389,13.25521769,1.49657923,-6.68540480,7.22262504,-7.12229400,0,0
122,1.78966413,6.29721452,9.89271442,1.94833957,-6.27001072,1.25940515,-5.13095962,0,0
123,1.82458745,7.09057741,5.79161872,3.32881786,-7.01914369,2.20976718,-7.51384229,0,0
126,1.86151571,3.75274247,11.21198263,1.83353488,-0.00000000,3.18982936,-7.65845795,0,0
130,1.93565427,5.77116116,11.24964421,1.14953829,-4.31006288,4.43498892,-5.55062825,0,0
132,1.98175680,7.32551611,17.42546882,1.87515379,-0.97005960,2.71408360,-5.91172546,0,0
135,1.99443518,4.49136934,9.42378598,1.21755104,-3.47825942,1.05959510,-4.28577327,0,0
137,2.03157094,5.08147759,16.78477532,4.68933907,-0.40375141,2.50923678,-4.34266840,0,0
138,2.03751724,3.82240296,16.44703787,10.41697617,-3.82998886,3.14164956,-7.03874129,0,0
