Index,goal_center_x,goal_center_y,goal_velocity_min,goal_velocity_max,num_npc,lane_count,npc_x0,npc_v_max,npc_seed,cutin_tx,cutin_delay,Fitness_Min distance to obstacle_LoFi,Fitness_Distance to goal_LoFi,Fitness_Min distance to obstacle_HiFi,Fitness_Distance to goal_HiFi,Critical_LoFi,Critical_HiFi
0,150.20775080,0.45212037,13.85652468,20.58907024,1.84137283,2.39348508,11.44359354,16.30013091,93.40043939,0.56637719,0.35422196,2.55409558,0.00000000,3.27592519,0.00000000,0,0
1,151.67173623,0.33771431,10.61001825,23.58268783,1.33167997,2.06209206,9.34014915,18.45659159,33.59650799,0.91181324,0.40578568,0.54122226,1.84951796,1.27088843,0.00000000,1,0
2,156.85601838,0.04230191,14.20120298,24.52731426,1.45956304,1.37470934,10.32258539,16.77450152,74.94840987,0.88851173,0.31711464,0.64900565,2.06441809,1.10789839,0.00000000,1,0
3,159.17341664,0.22264421,13.32249728,21.95573100,1.90730071,2.40020859,10.55384193,18.78379351,41.90081673,0.62102186,0.24968846,1.38996441,0.00000000,1.90102493,0.00000000,0,0
4,154.20124470,0.10452373,11.54225761,20.03788921,1.22659781,1.14534729,9.84088093,17.13229575,12.27052845,0.82588390,0.01036476,0.58513675,2.00420302,1.71521380,0.00000000,1,0
5,155.88224758,0.19793962,14.95273398,22.69658056,1.07923799,1.66111004,11.71452949,19.89437599,23.86328546,0.54678487,0.27880876,2.41001303,0.00000000,2.68787672,0.00000000,0,0
6,152.45956490,0.37684646,12.61402767,22.31569100,1.78532921,1.53580337,11.27008592,17.58131480,82.89949521,0.79733727,0.06330998,0.74421982,1.55188492,1.85053860,0.00000000,1,0
7,153.91708104,0.08872168,12.14339416,24.09328145,1.19025276,1.90217161,11.02337435,15.83793180,8.17878098,0.71225936,0.48525933,0.65814089,1.95983872,1.72000263,0.00000000,1,0
8,158.33266326,0.29638706,10.30337280,23.09460345,1.58718934,2.89272794,9.05803560,19.17462888,66.26677844,0.97084511,0.11396742,0.59396725,1.79343176,0.00000000,0.91817574,1,1
9,157.97129573,0.44776442,11.46689429,21.06049350,1.68011193,2.67794385,10.05225119,15.26259878,56.61273652,0.69630668,0.19092784,1.12557606,0.91650345,0.54726228,11.27496813,1,1
10,151.60327800,0.05216359,14.20120298,24.52731426,1.33211310,1.37470934,9.33938772,16.78512012,74.94840987,0.88851173,0.31711464,2.48606579,0.00000000,1.65855336,0.00000000,0,0
11,156.90043716,0.04230191,14.20120298,24.52731426,1.45956304,2.67729035,10.05033237,16.75420413,74.94840987,0.88645978,0.31711464,1.22698692,0.00000000,1.73569785,0.00000000,0,0
12,156.92448110,0.32786922,10.61001825,23.58268783,1.45912991,2.06209206,10.32334701,18.44597299,33.59650799,0.91181324,0.40578568,0.64218618,1.87802392,0.34176086,0.00000000,1,1
13,157.92687695,0.44776442,11.46689429,21.06049350,1.68011193,1.37536058,10.32450421,15.26259878,56.61273652,0.69835864,0.19092784,0.64773938,1.61190711,1.02133496,0.00000000,1,0
14,152.34551211,0.10452373,11.54225761,20.03788921,1.22659781,1.14206201,9.95317950,17.13946029,12.27052845,0.82588390,0.00995742,2.66082534,0.00000000,1.75366501,0.00000000,0,0
15,154.31529749,0.37684646,12.61402767,22.31569100,1.78532921,1.53580337,11.15778734,17.57415026,82.89949521,0.79733727,0.06371840,0.61277732,1.68015139,1.73698284,0.00000000,1,0
16,154.15759902,0.04657158,11.51953165,24.37887360,1.45873288,1.37909676,9.84088093,16.77526471,13.66089143,0.81976000,0.01036476,0.64965189,2.01278916,1.70003729,0.00000000,1,0
17,156.89966406,0.10025407,14.22392590,20.22827874,1.22742796,1.14095986,10.32258539,17.13153256,73.55873386,0.89463564,0.31711464,2.36339038,0.00000000,3.48884253,0.00000000,0,0
18,156.85601838,0.03121458,10.56573507,23.58396169,1.33215898,1.37470934,9.38111708,16.78925081,74.94840987,0.88955565,0.31711464,0.60684595,2.08208013,1.56353776,0.00000000,1,0
19,151.67173623,0.34895918,14.24566160,24.52604039,1.45908402,2.06209206,10.28161763,18.44184231,33.59650799,0.91076932,0.40578568,0.49665004,1.80151182,1.28272262,0.00000000,1,0
20,151.67173623,0.34895918,10.26595049,23.09682036,1.45908402,2.87867497,10.28365593,18.44184231,33.59650799,0.91076932,0.11802667,0.70114100,1.98001953,0.38224786,1.30659769,1,1
21,151.68567953,0.44734981,11.47427130,21.07273792,1.33167997,2.04307238,10.04650749,18.35310224,33.59650799,0.92789528,0.40958679,0.50165586,1.70590748,0.45303761,5.23865843,1,1
22,156.85601838,0.04230191,14.20120298,24.62476662,1.45956304,1.37470934,10.32258539,16.78951738,74.94840987,0.88851173,0.31711464,0.64900565,2.06441809,1.62345249,0.00000000,1,0
23,158.33266326,0.29638706,14.28787671,24.52382308,1.58718934,2.07606817,9.05839044,19.17462888,66.26677844,0.97084511,0.40172635,0.59396725,1.79343176,0.00000000,12.29916028,1,1
24,157.95736002,0.33812892,10.60264124,23.57044348,1.68011193,2.69696351,9.34589286,15.36755642,56.61273652,0.68022427,0.18712672,0.87687182,1.45128045,0.46784773,6.79813117,1,0
25,156.85601838,0.03121458,10.56573507,23.48650869,1.33215898,1.37470934,9.38111708,16.77423494,74.94840987,0.88955565,0.31711464,0.60684595,2.08208013,0.44343242,1.70981018,1,1
26,155.27165931,0.32786922,10.61001825,23.58268783,1.45474385,2.06209206,10.30652360,18.44576652,33.59650799,0.91181324,0.40578568,0.60401007,2.01125861,1.13224885,0.00000000,1,0
27,151.67173623,0.34805539,14.24566160,21.14755852,1.45915920,1.38566929,10.28161763,18.44184231,33.70743838,0.91076932,0.19279936,0.93765529,1.37960504,0.96574186,0.00000000,1,0
28,151.80966522,0.33771431,10.61001825,23.58268783,1.33606603,2.06209206,9.35697274,18.45679807,33.59650799,0.91181324,0.40578568,0.53450894,1.78262312,1.28716602,0.00000000,1,0
29,157.92687695,0.44866822,11.46689429,24.43873243,1.68003675,2.05178335,10.32450421,15.26259878,56.50180613,0.69835864,0.40391416,0.68157501,1.60223266,0.97679356,0.00000000,1,0
30,156.93436562,0.32763306,10.61027333,23.58268783,1.45912991,2.07515475,9.37221942,18.44597299,56.58047091,0.91181324,0.41114574,0.61954057,1.88516892,0.00000000,0.00000000,1,1
31,151.53651301,0.29638706,10.30337280,21.15909624,1.58718934,2.89272794,10.27640157,19.17462888,66.26677844,0.97084511,0.11396742,1.57637619,0.14191447,0.81084155,0.00000000,1,0
32,156.86134719,0.03121458,10.56573507,23.48770513,1.33727928,1.36714747,9.38111708,16.77214924,74.94840987,0.88955565,0.31676473,0.60684595,2.08209866,0.68155859,0.76347206,1,1
33,151.67552656,0.34001918,10.60264124,23.57044348,1.68011193,2.02155035,9.34589286,15.12480190,56.61273652,0.68022427,0.18702058,0.68515876,1.94935492,0.49971816,7.23164518,1,1
34,157.92687695,0.44866547,11.46689429,21.06049350,1.68011193,1.37536058,10.32450421,15.26259878,56.61273652,0.69835864,0.40928558,0.64773938,1.61100620,2.48838534,0.00000000,1,0
35,157.94747550,0.33836509,10.60238616,23.57044348,1.68011193,2.68390081,10.29702059,15.36755642,33.62877360,0.68022427,0.18176663,0.75699788,1.75445447,0.65473104,0.00000000,1,0
36,158.46788540,0.34805539,14.24566160,23.08306573,1.45915920,1.38566929,9.06548525,18.44184231,33.70743838,0.91076932,0.19279936,0.67142529,1.76109666,1.38546719,0.00000000,1,0
37,156.91915230,0.32786922,10.61001825,23.58149139,1.45400961,2.06965392,10.32334701,18.44805870,33.59650799,0.91181324,0.40613559,1.34148041,2.08978276,0.48755114,0.00000000,1,1
38,157.96752091,0.44545955,11.47427130,21.07273792,1.33167997,2.71848548,10.04650749,18.61746618,33.59650799,0.92789528,0.40969292,0.63096501,1.74653517,0.99202245,0.00000000,1,0
39,157.92687695,0.44776717,11.46689429,24.43873243,1.68003675,2.05178335,10.32450421,15.26259878,56.50180613,0.69835864,0.18555641,0.68157501,1.60313358,0.47728288,0.00000000,1,1
40,158.32285690,0.33961833,10.30337280,23.09319609,1.58718934,2.89272794,9.05803560,19.17462888,66.70644432,0.67726266,0.18204290,1.44011015,0.00000000,0.65787302,0.00000000,0,0
41,156.91896019,0.32787092,10.61028166,23.58268783,1.45912991,2.07515475,10.30537359,18.44596432,56.58047091,0.91181324,0.41112982,1.34148041,2.08978846,0.88704675,0.00000000,1,0
42,158.33266326,0.29638706,10.28222640,23.09460345,1.58718934,2.89272794,9.06207508,18.44223458,66.26677844,0.91065663,0.11149268,0.64225568,1.82179216,0.00000000,11.20119907,1,1
43,157.95728187,0.29513382,10.60238616,23.57185084,1.68011193,2.68390081,10.29702059,15.36755642,33.18910772,0.97365253,0.11369115,0.90849040,0.02235729,0.70306288,0.00000000,1,0
44,156.93455772,0.32763136,10.61000991,23.58149139,1.45400961,2.06965392,9.39019291,18.44806737,33.59650799,0.91181324,0.40615151,0.96525821,1.65469609,0.00000000,10.21501270,1,1
45,156.93436562,0.32763306,10.63141973,23.58268783,1.45912991,2.07515475,9.36818489,19.17836730,56.58047091,0.97200172,0.41362017,0.60894082,1.89362934,0.47136422,0.00000000,1,1
46,156.91915230,0.32786922,10.61002271,23.58149139,1.45401752,2.06957197,9.37685254,18.44591197,33.34380196,0.91181324,0.40589276,1.43104902,0.00000000,1.42940486,0.00000000,0,0
47,156.93436562,0.32763306,10.61026886,23.58268783,1.45912200,2.07523671,10.31871396,18.44811972,56.83317693,0.91181324,0.41138857,0.65552778,1.88611532,0.44729156,8.46582536,1,1
48,157.92687695,0.44776717,11.46689429,24.43873243,1.68003675,2.05178335,10.32450421,15.26259878,56.50180613,0.69835864,0.17962639,0.68157501,1.60313358,0.73396249,0.77574562,1,1
49,156.93436562,0.32763306,10.61027333,23.58268783,1.45913241,2.12323870,9.37221942,18.46677920,56.58047091,0.97030395,0.41843371,0.61954057,1.88516892,0.64473752,0.00000000,1,0
50,158.33266326,0.29638706,10.28360799,23.07020665,1.45804259,2.89272794,9.06207508,18.44223322,56.37091978,0.91065663,0.11149268,1.46233678,0.00000000,0.36029902,0.84020436,0,1
51,156.92404367,0.32786922,10.61027237,23.58268783,1.45912991,2.07479424,9.35894422,18.44597299,56.16517571,0.91181324,0.40554275,1.38347921,0.00000000,0.39991155,0.00000000,0,1
52,156.93436562,0.32763306,10.63141973,23.58268783,1.45912991,2.07515475,9.42589490,19.17836730,56.58047091,0.94982141,0.41362017,0.96525931,1.65471083,0.41271536,0.00000000,1,1
53,156.95730708,0.29638706,10.32481530,23.09460345,1.58718934,2.06467102,9.05803560,19.17462888,31.68549111,0.97084511,0.11373630,2.37047576,0.00000000,3.12082179,0.00000000,0,0
54,156.93436562,0.32180734,10.63141973,23.58268783,1.45912991,2.07515475,9.36818489,19.17836730,59.98290032,0.97200172,0.41362017,0.60894082,1.89944515,0.48321108,6.51931600,1,1
55,156.93436562,0.32763306,10.60889173,23.60708462,1.58827666,2.07515475,9.37221942,18.44597435,66.47632956,0.91181324,0.41114574,0.61954057,1.88516892,0.81406904,0.00000000,1,0
56,156.93480304,0.32763306,10.61001920,23.58268783,1.45912991,2.06245257,10.33662238,18.44597299,34.01180318,0.91181324,0.41138866,0.65552778,1.88609556,0.19254212,2.25418966,1,1
